user_id,country,age_group,genre,artist,song_title,listening_time_minutes,subscription_tier,revenue_generated,timestamp
U001,USA,18-25,Pop,Taylor Swift,Midnight Rain,3.5,Premium,0.12,2024-01-15
U002,UK,26-35,Rock,Arctic Monkeys,Do I Wanna Know,4.2,Free,0.02,2024-01-15
U003,India,18-25,Bollywood,Arijit Singh,Kesariya,5.1,Premium,0.15,2024-01-15
U004,USA,36-45,Hip-Hop,Drake,Rich Flex,3.8,Premium,0.13,2024-01-16
U005,Brazil,18-25,Latin,Bad Bunny,Titi Me Pregunto,3.2,Standard,0.08,2024-01-16
U006,Germany,26-35,Electronic,David Guetta,I'm Good,3.9,Premium,0.14,2024-01-16
U007,Japan,18-25,J-Pop,Yoasobi,Idol,4.5,Premium,0.16,2024-01-17
U008,UK,46-55,Rock,Queen,Bohemian Rhapsody,5.9,Standard,0.09,2024-01-17
U009,India,26-35,Classical,Ravi Shankar,Raga Jog,8.2,Premium,0.18,2024-01-17
U010,USA,18-25,Pop,Ariana Grande,7 Rings,3.1,Free,0.01,2024-01-18
U011,France,26-35,Electronic,Daft Punk,Get Lucky,4.7,Premium,0.15,2024-01-18
U012,Australia,18-25,Rock,AC/DC,Thunderstruck,4.9,Standard,0.10,2024-01-18
U013,South Korea,18-25,K-Pop,BTS,Dynamite,3.4,Premium,0.14,2024-01-19
U014,Mexico,36-45,Latin,Luis Miguel,La Incondicional,4.3,Standard,0.08,2024-01-19
U015,Canada,26-35,Hip-Hop,The Weeknd,Blinding Lights,3.6,Premium,0.13,2024-01-19
U016,USA,18-25,Country,Luke Combs,Fast Car,3.8,Premium,0.12,2024-01-20
U017,UK,18-25,Pop,Ed Sheeran,Shape of You,3.9,Standard,0.07,2024-01-20
U018,India,18-25,Bollywood,Shreya Ghoshal,Chaka Chak,4.2,Free,0.02,2024-01-20
U019,Spain,26-35,Latin,Rosalia,Despecha,3.7,Premium,0.14,2024-01-21
U020,Italy,36-45,Classical,Andrea Bocelli,Con Te Partiro,5.5,Premium,0.17,2024-01-21
U021,USA,18-25,Hip-Hop,Kendrick Lamar,HUMBLE,3.9,Premium,0.13,2024-01-21
U022,Brazil,18-25,Latin,Anitta,Envolver,3.3,Standard,0.08,2024-01-22
U023,Germany,26-35,Electronic,Robin Schulz,Sugar,3.8,Premium,0.14,2024-01-22
U024,Japan,26-35,J-Pop,Kenshi Yonezu,Lemon,4.8,Premium,0.16,2024-01-22
